,repository_name,languages
126,amazon-ads-advertiser-audience-normalization-sdk-py,Python
127,amazon-advertising-api-php-sdk,PHP
128,amazon-codeguru-profiler-for-spark,Java
129,amazon-frustration-free-setup-certification-tool,Python
130,amazon-hub-counter-api-docs,CSS
131,amazon-hub-counter-api-samples,Java
132,amazon-hub-counter-sdk-java,Java
133,amazon-hub-support,PowerShell
134,amazon-instant-access-sdk-java,Java
135,amazon-instant-access-sdk-net,C#
136,amazon-instant-access-sdk-php,PHP
137,amazon-instant-access-sdk-ruby,Ruby
138,amazon-launcher-integration-cordova-plugin,JavaScript
139,amazon-marketing-stream-examples,Python
140,amazon-mcf-plugin-for-magento-1,PHP
141,amazon-multi-token-completion,Python
142,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
143,amazon-pay-api-sdk-dotnet,C#
144,amazon-pay-api-sdk-java,Java
145,amazon-pay-api-sdk-nodejs,JavaScript
146,amazon-pay-api-sdk-php,PHP
147,amazon-pay-api-sdk-ruby,Ruby
148,amazon-pay-code-samples,PHP
149,amazon-pay-sdk-csharp,C#
